id,xgboost,adaboost,random_forests,knn,svm,price
5615100330,226453,274000,227218,200000,177871,200000
8835900086,500993,775000,587952,350000,718271,350000
9510900270,254461,260000,261070,254000,303671,254000
2621600015,198846,163000,169025,175000,205465,175000
8078350090,578752,567000,597060,619000,546995,619000
1061400180,283341,303100,259794,240000,329596,240000
7697870600,242434,250000,205431,158000,306947,158000
7812800995,193422,194000,194099,200000,152584,200000
2953000250,275857,264000,273279,275000,336590,275000
5561400740,565592,600000,604059,593500,724161,593500
7237300090,321082,322500,327596,335000,333979,335000
1565900390,273346,283000,277539,272000,200791,272000
6840700165,216315,367500,271784,202000,364910,202000
2320069206,211433,212644,216685,219000,151972,219000
2868900160,197289,204995,214511,222500,139142,222500
6084600330,250596,234950,249649,260000,222663,260000
7229800066,419179,390000,437634,439950,417117,439950
1450100070,199931,207000,207775,208000,145511,208000
1561600025,776353,745000,726230,712500,466959,712500
263000050,740614,674000,724741,730000,549160,730000
4337600005,206327,210000,176777,153000,214460,153000
2267000453,402322,410000,415683,415000,421098,415000
7589700055,520038,490000,518454,545000,400991,545000
6142100090,297765,308000,292154,279000,298089,279000
7831800411,301415,338000,280997,250000,398417,250000
8122600195,397859,395000,401669,396675,355313,396675
9541600015,684856,639000,659780,660000,568792,660000
254000075,358295,387500,395469,368000,444713,368000
4442800012,469660,497000,468543,465000,486139,465000
5045700090,508356,483453,478711,480000,468341,480000
1829300130,770406,780000,789292,795000,831161,795000
2768301217,569618,585000,582182,580000,470565,580000
4073800140,516513,575000,489884,429000,604573,429000
2310030390,279956,263000,267391,275000,285170,275000
9578080130,614120,585000,614516,625000,528795,625000
2555900030,351380,362500,333619,320000,463627,320000
2719100355,637344,580000,642047,660000,598719,660000
6641800020,716170,550000,718741,700000,773351,700000
6738700275,888016,920000,944184,870000,778491,870000
3262300555,2489769,2479000,2485709,2458000,1278992,2458000
1760650950,322441,311000,310904,309000,290411,309000
1036400200,655739,570000,654139,697000,557932,697000
34001304,525300,528000,503483,480000,434087,480000
1137300340,676198,650000,662963,674250,747195,674250
2349300060,235643,452000,348885,200000,350764,200000
269000615,822216,690000,787379,875000,627110,875000
1523069128,605507,535000,607572,625000,595078,625000
6113400047,521751,410000,493995,530000,483428,530000
4302700559,342888,355000,340739,342000,332433,342000
6071400360,548164,577500,553490,550000,561345,550000
3026059361,483538,500000,488299,479000,574385,479000
8073900070,390490,356250,389165,408000,362637,408000
7520000616,341049,340000,329653,325000,325609,325000
9523100026,824914,925000,811242,748000,727229,748000
8732130140,271928,282000,278674,285000,288330,285000
7211340030,290835,300000,286787,300000,233758,300000
8078100140,340540,345000,351494,374950,433249,374950
9558010230,342612,345000,346768,330000,390041,330000
6149700350,323276,335500,343572,343000,398156,343000
2525059172,685636,699000,670903,664000,664176,664000
3421069020,315059,408506,342797,314000,296035,314000
513000445,547191,505000,539229,554950,438298,554950
1498301672,461497,550000,504843,467000,483087,467000
7515000035,396827,425000,412368,395350,428199,395350
8832900360,656235,600000,656266,735000,760315,735000
4218400100,1851957,1675000,1828525,1865000,1169840,1865000
2391602500,502131,479200,505323,512500,388866,512500
7129301851,251030,308000,260626,245000,388526,245000
2426049125,509125,500000,487523,488000,603824,488000
8944550100,490252,448500,470770,455000,432668,455000
3867400130,759450,597000,699796,810000,642337,810000
1651800030,1648511,1580000,1571195,1650000,926643,1650000
7715801040,449903,437000,456487,465000,372100,465000
6064800730,309773,305000,329418,330950,323723,330950
6338000592,526084,509990,553359,565000,439228,565000
1402600570,312901,306000,315577,320000,373231,320000
7202360170,781815,790000,790333,788600,819902,788600
9209900335,524468,517000,498293,463000,470739,463000
7905200310,556767,546000,551593,545000,432298,545000
1422700080,259365,268000,258488,253000,347002,253000
8856900310,548356,610000,549223,535000,690245,535000
5379805885,254617,260000,247097,240000,208150,240000
826069180,471751,515000,469402,440000,601158,440000
5075400150,609295,672000,615050,585000,580984,585000
2911000100,250310,267950,251054,245000,237915,245000
7857000732,367013,405000,384558,350000,416091,350000
7011201333,596803,570000,584163,590000,622476,590000
7694200350,409639,445000,411109,399963,453493,399963
7525100520,368672,420000,362197,335000,470846,335000
9424400110,732183,825000,740573,725000,517699,725000
9829200325,664946,566000,698102,765000,625169,765000
8901001290,409924,410000,451872,477000,463051,477000
923000580,665356,689000,637771,614000,857725,614000
625100181,567013,595000,572512,535000,561983,535000
9268850030,438788,450000,434157,420000,425299,420000
3876300890,466024,500000,484513,485000,600977,485000
3438501320,292999,339950,307173,295000,346762,295000
937000330,227739,217000,233130,246500,240359,246500
3746700120,859211,710000,841506,857326,734177,857326
5649600435,343801,385000,368784,349950,409675,349950
2560800165,178201,178500,184905,180500,69250,180500
1000102,289155,315000,293397,280000,313655,280000
3330500875,365455,366000,376353,381156,410945,381156
1139000069,319850,318000,309184,320000,384903,320000
5101405335,412765,443000,429209,414900,427823,414900
4215250030,552528,700000,584834,475000,728861,475000
9522400350,518873,557500,517930,500000,640592,500000
4403200255,796137,925000,860489,796000,756627,796000
2225059240,904180,1035000,978716,935000,831939,935000
2639400020,656055,634000,630843,635000,698757,635000
8001470560,923852,936000,925373,925900,943331,925900
751000020,297066,325000,299478,290000,344401,290000
1438000190,525501,525000,541618,549995,526223,549995
6300500515,370829,359950,344852,350000,397521,350000
524059323,995402,999999,980623,990400,582035,990400
5126900100,174939,205000,168190,150000,194190,150000
2296700470,440456,445000,456989,465000,508341,465000
1000102,309361,323000,298442,300000,332316,300000
2600020100,924642,840000,941054,975000,887559,975000
7202290650,627659,659000,644112,620000,525138,620000
7533800325,1085868,960000,1057462,1100000,801088,1100000
4351300978,807642,949999,841510,787888,680735,787888
9212900300,459989,460000,474978,492000,416576,492000
9187200045,642753,700000,662612,625000,692753,625000
4401200010,798105,813000,801092,795000,845079,795000
1061400360,245449,249500,266949,280000,269787,280000
461002050,418957,430000,450756,450000,383623,450000
2306400010,490180,514000,506235,500000,461662,500000
104550660,266782,270000,273856,275000,290429,275000
6300500183,360983,430000,360756,305000,357137,305000
5634500234,557338,502000,532135,554990,626939,554990
1972200555,609055,598500,606310,610000,453137,610000
6788203060,779474,940000,809523,690000,764669,690000
220069106,585821,485000,578535,599950,648135,599950
3992700036,419351,460000,415588,415000,484308,415000
723000226,1202080,1165000,1224647,1250000,976674,1250000
2870000040,214089,415000,282713,145000,297733,145000
4385700660,1102006,1005000,1075451,1085000,723543,1085000
7625702615,388657,320000,356068,400000,154160,400000
7201600190,463499,480000,459683,430000,391863,430000
6823100225,750590,775000,717573,700000,582460,700000
3876540600,284530,250000,267857,273000,255401,273000
7010701016,455385,550000,457977,411000,390260,411000
5035300871,860944,750000,833308,898000,653409,898000
3131201310,528591,538000,539197,525000,400662,525000
240000130,635522,545000,697437,706000,589737,706000
114101505,648809,770000,740567,630000,885101,630000
4006000281,235962,370000,284743,227000,382777,227000
1525069095,900957,783350,875712,925000,861853,925000
2222059052,366941,355000,361995,370950,348968,370950
425200145,256249,244900,251845,265000,293063,265000
8731990440,297298,286000,295734,299900,469017,299900
5126300960,438251,400000,427145,442250,445280,442250
8731800840,255573,265000,259286,265000,360284,265000
7613700950,1301766,1399000,1283014,1240000,853887,1240000
1775500362,632461,625000,621013,625000,715372,625000
7967950040,495149,616000,525867,485000,742916,485000
414100280,305088,320000,322265,336000,396824,336000
3585900785,931428,999000,1026569,930000,929650,930000
5101404351,519401,510000,538986,550000,462930,550000
4100500070,1700978,1650000,1738747,1710000,994972,1710000
985001015,170331,198000,159695,135000,199143,135000
6392002550,1039591,1075000,1086332,970000,841924,970000
4217400305,1231234,1206500,1235648,1295000,802045,1295000
1796000120,483270,500000,509795,510000,479820,510000
3449000200,354027,342500,349709,360000,420121,360000
7234600796,515491,535000,521847,495000,576735,495000
3126049052,560660,559000,556602,551000,494396,551000
7751800070,502071,455500,523328,583000,444394,583000
3754500566,745486,689000,774201,749950,777466,749950
7986400305,718441,640000,714728,754300,564110,754300
5245400030,220959,210000,249907,255000,205848,255000
3996900295,312917,277000,333911,358000,387059,358000
3022079094,666973,651000,673899,675000,576423,675000
7856400410,1128854,1088890,1137157,1100000,978974,1100000
7568700740,473994,530000,465877,430000,597136,430000
8562710640,934031,1050000,974906,909500,984743,909500
7549801565,320225,330000,325778,311000,340569,311000
3750603492,198196,220000,201822,185000,115114,185000
2832100270,405469,415000,354609,306888,462025,306888
7202340860,574932,536000,565197,561000,504091,561000
5250300035,887735,999000,928479,910000,851884,910000
4047200950,252373,234000,257017,265000,345735,265000
7560000070,680796,730000,693887,710000,531001,710000
2724079090,1641031,1250000,1464092,1650000,1284183,1650000
251200200,466337,450000,458517,464900,512482,464900
5505700055,411571,513000,404568,345000,447274,345000
7766200013,739833,530000,666104,775000,607659,775000
3438500714,320994,375000,340615,325000,363331,325000
6021503706,345426,352500,337119,329900,437778,329900
6751500185,709649,650000,742060,795000,610399,795000
324059112,642365,579000,643511,675500,520982,675500
9834201145,674036,875000,747039,635000,567125,635000
5416500090,278753,296000,276292,269000,222541,269000
1180003175,233919,221000,231272,229950,233928,229950
6380500135,321952,330000,318706,326100,301674,326100
5647000060,366861,370037,351993,344950,382311,344950
255520150,541011,640000,571360,539000,783104,539000
4299700095,276359,340000,285397,254000,350015,254000
5315100806,1009087,1100000,1031525,940000,774913,940000
1604600660,370068,365000,351185,350000,413448,350000
3179101050,711395,707900,689157,672324,587280,672324
2212200090,236880,240000,228082,215000,246185,215000
6072760360,676859,675000,675072,665000,612284,665000
6457000080,274296,261000,260382,269900,300553,269900
6752600130,331946,330000,341078,351000,390600,351000
5379800862,344777,345000,354744,360000,344784,360000
3216900070,356245,350000,372488,382500,431230,382500
7792000140,393794,449990,405328,369000,338884,369000
2822069078,369434,400000,387444,368000,338478,368000
7853340430,388624,394000,389380,378000,397724,378000
109200390,233836,235000,244646,247500,234434,245000
7237500110,1178742,1079000,1135278,1208000,946023,1208000
420000085,232279,235000,232601,238000,239520,238000
1775800710,337314,355500,331447,315500,400030,315500
1862900690,247687,241000,251055,257500,220023,257500
9433000460,805807,799950,793227,779950,733901,779950
3924500040,709124,660000,682264,700000,695278,700000
4389200955,1427759,1050000,1288595,1450000,839223,1450000
1446404015,201977,196000,198747,200000,218130,200000
1545807990,295428,275000,295356,315000,315936,315000
8581200350,205999,210000,194200,187500,179373,187500
3905100220,495657,479000,510456,535000,465318,535000
7631200310,973815,750000,893412,985000,957739,985000
6703700025,367599,360000,372644,373000,458937,373000
1868901120,583433,599000,635159,660000,560274,660000
3500100047,282498,285000,277943,275400,382270,275400
8848400020,399280,405000,413319,430000,534020,430000
856000635,2205385,1648000,2149507,2225000,1176084,2225000
7905400160,226854,215000,232711,246900,255761,246900
7298030210,434933,465000,438012,445000,628769,445000
7771300155,323851,329500,325903,332500,413130,332500
3862710200,414746,423700,418517,414000,398404,414000
1837010010,480543,485000,462846,465000,605713,465000
3362401000,715562,712500,707447,695000,657400,695000
3288301410,480283,505000,480820,475000,646982,475000
629420080,721212,735000,733807,731000,685893,731000
2488200168,584441,500000,592620,725000,414795,725000
7569450480,286485,290000,288144,286000,357608,286000
3992700048,440203,446800,488984,526000,503081,526000
6708200040,399020,446000,427471,409500,581126,409500
3830610320,245718,260000,242902,241000,264172,241000
7215721070,508715,515000,495297,485500,447693,485500
8807900233,465660,475000,444447,427500,420893,427500
7785000220,723996,719521,736052,725000,473234,725000
9831200159,2236364,1600000,1947457,2250000,1051930,2250000
3395350210,816831,665000,745403,810000,745677,810000
7300200400,634824,605000,659113,682000,560666,682000
8899200720,309744,285000,302431,312000,358350,312000
204000175,381562,420000,399057,381000,276060,381000
3904901520,407247,432250,442146,447000,367865,447000
525069133,822502,925000,824323,780000,897785,780000
3876312620,403537,425000,401582,395000,448577,395000
1828000230,476697,488250,497961,498000,440882,498000
1529300115,432861,420000,442277,455000,484822,455000
6798100661,314564,304000,326549,340000,400619,340000
3876000910,512600,535000,499155,487000,655751,487000
3654200037,381996,390500,383991,380000,398126,380000
7701930050,577495,610000,582633,570000,738260,570000
9485300560,323203,350000,328196,325000,442107,325000
3521059134,905764,785000,897753,900000,836285,900000
7549800168,441320,415000,443421,457500,511787,457500
2926049086,573993,599950,592829,575000,607938,575000
7852110690,617696,633000,622790,622500,633624,622500
8820900029,725002,700000,706302,700000,913172,700000
203101330,532597,550000,507715,485000,578137,485000
1324300018,451764,459000,466696,476000,444901,476000
1331900410,837558,760000,827955,869000,898597,869000
8562790950,708050,713000,703135,716500,670905,716500
8562720230,1033008,1010000,1013724,980000,1030518,980000
1437900020,404598,389000,431911,450000,414565,450000
9485740340,350555,345000,349703,346900,435143,346900
2525000220,331236,314000,348566,370000,335454,370000
2481630200,851862,820000,870903,883000,903249,883000
1721801025,213379,225000,213763,210000,259265,210000
1604601155,225388,300000,239153,180000,205569,180000
7298020240,413957,450000,413110,402500,608670,402500
1555300530,205903,196000,227154,240000,205310,240000
255450250,337137,339950,313992,307635,346338,307635
393000385,253608,249000,256463,255000,288391,255000
7694600201,318754,329000,309020,300000,290624,300000
2488200459,416331,405500,423084,405000,392522,405000
1310440950,437242,441000,448848,455000,592972,455000
5466420030,276597,275000,265689,253000,271191,253000
1432600100,209890,221000,220349,218000,186338,218000
